Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,Time(ms),nblock,state,exp,,,,
"test(int, int, int)",805601748,127467350,1,1,1,1024,1,1,37,304,6352,127.46735,58,305,,,,,
"test(int, int, int)",805601908,126279359,1,1,1,1024,1,1,37,304,6352,126.279359,59,291,,,,,
"test(int, int, int)",805601972,119540553,1,1,1,1024,1,1,37,304,6352,119.540553,60,280,,,,,
"test(int, int, int)",805602132,118350386,1,1,1,1024,1,1,37,304,6352,118.350386,61,279,,,,,
"test(int, int, int)",805602260,135224008,1,1,1,1024,1,1,37,304,6352,135.224008,62,289,,,,,
"test(int, int, int)",805602388,122499810,1,1,1,1024,1,1,37,304,6352,122.49981,63,291,,,,,
"test(int, int, int)",805602484,126634194,1,1,1,1024,1,1,37,304,6352,126.634194,64,280,,,,,
"test(int, int, int)",945234467,121661247,1,1,1,1024,1,1,37,304,6352,121.661247,65,294,,,,,
"test(int, int, int)",945234531,114471353,1,1,1,1024,1,1,37,304,6352,114.471353,66,269,,,,,
"test(int, int, int)",945234595,110760762,1,1,1,1024,1,1,37,304,6352,110.760762,67,252,,,,,
"test(int, int, int)",945234755,118981532,1,1,1,1024,1,1,37,304,6352,118.981532,68,253,,,,,
"test(int, int, int)",945234787,101893262,1,1,1,1024,1,1,37,304,6352,101.893262,69,306,,,,,
"test(int, int, int)",945234883,124901423,1,1,1,1024,1,1,37,304,6352,124.901423,70,282,,,,,
"test(int, int, int)",945235011,105385364,1,1,1,1024,1,1,37,304,6352,105.385364,71,248,,,,,
"test(int, int, int)",945235107,113566200,1,1,1,1024,1,1,37,304,6352,113.5662,72,251,,,,,
"test(int, int, int)",945235267,104194078,1,1,1,1024,1,1,37,304,6352,104.194078,73,261,,,,,
"test(int, int, int)",945235363,124641400,1,1,1,1024,1,1,37,304,6352,124.6414,74,315,,,,,
"test(int, int, int)",945235459,112713430,1,1,1,1024,1,1,37,304,6352,112.71343,75,317,,,,,
"test(int, int, int)",945235587,109492422,1,1,1,1024,1,1,37,304,6352,109.492422,76,318,,,,,
"test(int, int, int)",945235715,129905217,1,1,1,1024,1,1,37,304,6352,129.905217,77,252,,,,,
"test(int, int, int)",1075294495,136701268,1,1,1,1024,1,1,37,304,6352,136.701268,78,313,,,,,
"test(int, int, int)",1075294495,119239891,1,1,1,1024,1,1,37,304,6352,119.239891,79,253,,,,,
"test(int, int, int)",1075294719,118375185,1,1,1,1024,1,1,37,304,6352,118.375185,80,245,,,,,
"test(int, int, int)",1075295102,122412453,1,1,1,1024,1,1,37,304,6352,122.412453,81,259,,,,,
"test(int, int, int)",1075295198,124933870,1,1,1,1024,1,1,37,304,6352,124.93387,82,315,,,,,
"test(int, int, int)",1075295390,120839772,1,1,1,1024,1,1,37,304,6352,120.839772,83,254,,,,,
"test(int, int, int)",1075295646,117006817,1,1,1,1024,1,1,37,304,6352,117.006817,84,305,,,,,
"test(int, int, int)",1075295774,116382199,1,1,1,1024,1,1,37,304,6352,116.382199,85,254,,,,,
"test(int, int, int)",1075295870,133989555,1,1,1,1024,1,1,37,304,6352,133.989555,86,270,,,,,
"test(int, int, int)",1075295998,119076697,1,1,1,1024,1,1,37,304,6352,119.076697,87,324,,,,,
"test(int, int, int)",1075296126,120262160,1,1,1,1024,1,1,37,304,6352,120.26216,88,275,,,,,
"test(int, int, int)",1075296254,114912778,1,1,1,1024,1,1,37,304,6352,114.912778,89,302,,,,,
"test(int, int, int)",1075296350,114402812,1,1,1,1024,1,1,37,304,6352,114.402812,90,323,,,,,
"test(int, int, int)",1212483650,99618077,1,1,1,1024,1,1,37,304,6352,99.618077,91,315,,,,,
"test(int, int, int)",1212483650,104075074,1,1,1,1024,1,1,37,304,6352,104.075074,92,216,,,,,
"test(int, int, int)",1212483842,111289832,1,1,1,1024,1,1,37,304,6352,111.289832,93,333,,,,,
"test(int, int, int)",1212484098,111978224,1,1,1,1024,1,1,37,304,6352,111.978224,94,280,,,,,
"test(int, int, int)",1212484578,99617693,1,1,1,1024,1,1,37,304,6352,99.617693,95,313,,,,,
"test(int, int, int)",1212484706,100340612,1,1,1,1024,1,1,37,304,6352,100.340612,96,315,,,,,
"test(int, int, int)",1212484834,107492939,1,1,1,1024,1,1,37,304,6352,107.492939,97,317,,,,,
"test(int, int, int)",1212484930,112539420,1,1,1,1024,1,1,37,304,6352,112.53942,98,314,,,,,
"test(int, int, int)",1212485058,143117526,1,1,1,1024,1,1,37,304,6352,143.117526,99,273,,,,,
"test(int, int, int)",1212485186,106892544,1,1,1,1024,1,1,37,304,6352,106.892544,100,297,,,,,
"test(int, int, int)",1212485282,103527797,1,1,1,1024,1,1,37,304,6352,103.527797,101,277,,,,,
"test(int, int, int)",1212485410,115248734,1,1,1,1024,1,1,37,304,6352,115.248734,102,262,,,,,
"test(int, int, int)",1212485538,103760525,1,1,1,1024,1,1,37,304,6352,103.760525,103,287,,,,,
"test(int, int, int)",1355906510,121121266,1,1,1,1024,1,1,37,304,6352,121.121266,104,248,,,,,
"test(int, int, int)",1355906510,127078755,1,1,1,1024,1,1,37,304,6352,127.078755,105,301,,,,,
"test(int, int, int)",1355906606,129159802,1,1,1,1024,1,1,37,304,6352,129.159802,106,307,,,,,
"test(int, int, int)",1355907246,133788410,1,1,1,1024,1,1,37,304,6352,133.78841,107,270,,,,,
"test(int, int, int)",1355907278,107580392,1,1,1,1024,1,1,37,304,6352,107.580392,108,279,,,,,
"test(int, int, int)",1355907406,127884199,1,1,1,1024,1,1,37,304,6352,127.884199,109,279,,,,,
"test(int, int, int)",1355907502,121193391,1,1,1,1024,1,1,37,304,6352,121.193391,110,281,,,,,
